NAME	StromalScore	ImmuneScore	ESTIMATEScore
ITCC.P4_s13_OS0504_PR04_F01_R01_03	-1042.177	-1236.415	-2278.592
ITCC.P4_s04_OS0582_PM01_F01_R01_03	  -90.79727	-1140.71037	-1231.50765
ITCC.P4_s05_RS0141_PR01_F01_R01_03	-2003.848	-2340.878	-4344.726
ITCC.P4_s05_RS0144_PR09_F01_R01_03	-1982.350	-2216.347	-4198.697
ITCC.P4_s05_RS0146_TP01_F01_R01_03	 804.3194	-307.6975	 496.6219
ITCC.P4_s05_RS0146_PP02_F01_R01_03	 -282.9041	-1707.7330	-1990.6371
ITCC.P4_s05_RS0147_TP01_F01_R01_03	 34.56009	-81.61645	-47.05636
ITCC.P4_s05_RS0147_PP03_F01_R01_03	-2129.614	-2345.425	-4475.039
ITCC.P4_s05_RS0178_PR04_F01_R01_03	-2182.681	-2472.547	-4655.228
ITCC.P4_s05_RS0189_PR08_F01_R01_03	-2325.335	-2305.886	-4631.221
ITCC.P4_s05_RS0192_PR08_F01_R01_03	-2205.854	-1990.532	-4196.386
ITCC.P4_s13_RS0228_PR07_F01_R01_03	 -352.1927	-1714.9787	-2067.1714
ITCC.P4_s13_RS0238_PR05_F01_R01_03	-2151.843	-2332.567	-4484.410
ITCC.P4_s13_RS0252_PR04_F01_R01_03	-1802.284	-2322.177	-4124.461
ITCC.P4_s05_RS0253_PR06_F01_R01_03	-1725.405	-2208.262	-3933.666
ITCC.P4_s04_RS0396_PP01_F01_R01_03	 -115.4754	-1508.1571	-1623.6325
ITCC.P4_s04_RS0404_PM01_F01_R01_03	-1089.958	-2026.161	-3116.119
ITCC.P4_s04_RS0406_PM01_F01_R01_03	-1879.975	-1566.291	-3446.265
ITCC.P4_s04_RS0417_PR01_F01_R01_03	-1255.643	-2480.926	-3736.569
ITCC.P4_s05_RS0432_PR07_F01_R01_03	-2269.851	-2201.503	-4471.354
ITCC.P4_s05_RS0456_PR01_F01_R01_03	-1892.173	-2257.667	-4149.840
ITCC.P4_s13_RS0456_TR01_F01_R01_A03	  -96.17761	 -984.11794	-1080.29555
ITCC.P4_s15_RS0599_TR01_F01_R01_03	1278.8717	 820.9462	2099.8179
ITCC.P4_s15_RS0599_PR04_F01_R01_03	-2004.924	-2384.803	-4389.728
ITCC.P4_s15_RS0599_TR02_F01_R01_03	1996.724	3380.078	5376.802
ITCC.P4_s15_RS0599_TR03_F01_R01_03	1362.298	1730.420	3092.718
ITCC.P4_s15_RS0599_PR06_F01_R01_03	-1849.954	-2521.234	-4371.188
ITCC.P4_s15_RS0599_PR05_F01_R01_03	-1895.604	-2419.149	-4314.752
ITCC.P4_s04_RT0414_PP01_F01_R01_03	-2448.060	-1944.817	-4392.878
ITCC.P4_s01_RT0423_PP01_F01_R01_A03	-2219.316	-2432.079	-4651.396
ITCC.P4_s04_SS0415_PR01_F01_R01_03	-1640.329	-2236.440	-3876.769
ITCC.P4_s01_XT0163_TM01_F01_R01_A03	  34.28231	1333.36031	1367.64261
ITCC.P4_s04_XT0331_PM01_F01_R01_03	-2191.579	-1979.907	-4171.486
ITCC.P4_s01_XT0554_PU01_F01_R01_A03	-71.3862	328.8029	257.4167
ITCC.P4_s01_XT0556_PU01_F01_R01_A03	-2295.987	-2434.522	-4730.508
ITCC.P4_s01_XT0561_TP01_F01_R01_A03	-979.4626	 123.4529	-856.0098
ITCC.P4_s05_XX0452_PM01_F01_R01_03	-1234.831	-1873.483	-3108.314
ITCC.P4_s13_XX0452_TM01_F01_R01_A03	-508.9090	-311.0644	-819.9733
